panoID,panoDate,longitude,latitude
bTPxCT1XJmYmilI4l9qYwg,2019-05,-75.701379,45.417599
vOXdPlAKxTsYTqgv0lUCCA,2019-05,-75.694870,45.420300
XsafgCHfybhRslshrV0rPw,2019-05,-75.694620,45.420399
GpqGiK08Bxw6cEm1nW3HpA,2019-05,-75.694462,45.420460
DVnZA6fdV8MlfY9AxNxt1Q,2019-05,-75.694272,45.420537
b2hZNDIyOiwsYxF9BjZ4jQ,2019-05,-75.694040,45.420631
ekEevLeKQTKT_joqRpzDfA,2019-05,-75.693818,45.420721
a9_y39piyFVoeEEm8ysZ9Q,2019-05,-75.693553,45.420830
C8WPPdHsdgQCUcmffV-10A,2019-05,-75.693333,45.420923
xfoLnFNkOb2iEaAqc5NmGw,2019-05,-75.693102,45.421019
VmwbaVUD3-2GjwYpM0W8xw,2019-05,-75.680259,45.436425
GOV79YMDeIn1wtvCAlEGSw,2019-05,-75.680020,45.436506
_bDYwQBxSndgOBvUBTK4Ag,2019-05,-75.679813,45.436603
rkx_2HZi_qHc0bKRJgm0lQ,2019-05,-75.679613,45.436718
OnXNaJf_L7sINbekmSNMDQ,2019-05,-75.679379,45.436887
fT0DVlBDHC3_ofSmrCCpGg,2019-05,-75.679190,45.437057
YOhG9Hd4h_OWlQQi2L-O0Q,2019-05,-75.679089,45.437152
OzwS-D5DitrTJi-dz1KuFg,2019-05,-75.678929,45.437303
s7xzdjkkGMPH-ZLLjbjvjw,2019-05,-75.678766,45.437469
Zr7CLn1zLMNP3P6EltW7ZQ,2019-05,-75.680107,45.436346
Q4V6gJ2LCYwPQKUiiuT1uQ,2019-05,-75.679849,45.436453
-_mpa7N-e0kjvoYkgMnPIw,2011-08,-75.688991,45.422643
Q6a0p8BvCwZZxkegtGjrzQ,2019-05,-75.688764,45.422778
Kuu_tnJodTC9lsPEe_Jo5Q,2019-05,-75.688598,45.422846
iD_y2BoWpfDiAON95FD0yw,2019-05,-75.688353,45.422942
rlKpLEzP_K9tL3QWZ4dVqw,2019-05,-75.688186,45.423009
R4FLLWYgmVMAsmRWIHJNuA,2019-05,-75.687926,45.423115
hb89WNS7mCwUNnY2lCro5A,2019-05,-75.687694,45.423211
0a4fTCUsGukI2ZHfVTsvug,2019-07,-75.670902,45.442747
2x1BH-sFqP5RJVekciO2zQ,2019-07,-75.670772,45.442946
no3B6YivVVZjWRr-_pfTGQ,2019-07,-75.670472,45.443763
V5yoFg8PdLrSS0J3pDwh-g,2019-07,-75.670427,45.443962
njJ7Q1hJ6tfZxhRq7di8_A,2019-05,-75.706437,45.415480
FNkTWTQerNy4CNcwBhOyKQ,2019-05,-75.707119,45.416196
p0zmBNNpNnpStZlBJdAbHA,2019-05,-75.707286,45.416121
cvTLADoAf2Z6rbkBkQbJRA,2019-05,-75.707492,45.416030
Nk09nRHaSLG1punei695Gw,2019-05,-75.707655,45.415958
7PKya5F8ocMeBesO2kBMpg,2019-05,-75.707928,45.415832
pjoKYXQwh9gyxLgl_wFfUw,2019-05,-75.708153,45.415727
DrgVfA-gur9RJb_O99JrQg,2019-04,-75.708229,45.415637
DyHmG8YOOkmL3yB-gt-yeA,2019-05,-75.708426,45.415635
8eNSBp8j1lVnOep370EY4w,2018-07,-75.708678,45.415846
4YZLPwE4A1RXl0NFLhCCXQ,2018-07,-75.708925,45.415796
0QuzMVCX6yPpgDJEaPsOMg,2019-05,-75.709161,45.415585
G3RXYViuD36WwQPqjaQ6ag,2019-05,-75.709281,45.415426
yhXP2fkBuOXgg6p09JZKOg,2019-05,-75.709414,45.415249
C9xbstPFanI-22ZFbQRSwg,2019-07,-75.670078,45.445071
afqVzRXZbE5mJ7Km5A0THA,2019-07,-75.669950,45.445232
Vca0Y9EzYkPQZezRc1XN1A,2019-07,-75.669801,45.445377
swyTcqHfa1gipKrhT7lTZQ,2019-07,-75.669672,45.445496
sCJThY_1j1inZH735gzYLA,2019-07,-75.669527,45.445644
P1iIBam1L7DqRAqTQL2Y-w,2019-07,-75.671479,45.442207
8KTMIH4a4zFd_oCFftmeyQ,2019-07,-75.671305,45.442341
BsAXu_D3xwCg4VesWzNaWA,2019-07,-75.671109,45.442519
2Oe70qiso0QwIr9kCKjpRw,2019-07,-75.670554,45.443444
OGGdH_oa5xwLq9BSKWwv8A,2019-07,-75.659561,45.449315
Tws7Icz0vJ5bVfHO4ZN5Xw,2019-07,-75.659280,45.449330
-1P5Rgv3SDOzSDpmfWPj5w,2019-07,-75.659011,45.449345
hGGJKM3FMgujE54c0uDA1g,2019-07,-75.658749,45.449360
uRn7MBl9dmjeKQ010jvWZA,2019-07,-75.658461,45.449377
q05QYLJdN8I6MSNa8l9dow,2019-07,-75.658331,45.449384
YDcdl7q0uAgu84QdrncXkQ,2019-07,-75.657938,45.449407
sqVjJL6q0krQHCguAPmc5A,2019-07,-75.657785,45.449416
YtmlHFrzvrqSLWjaJGiL7A,2019-07,-75.657530,45.449431
57VLk0A_1Xxr9AwOZCew2g,2019-07,-75.669364,45.445860
Z-C6OO_dN1-J_eWNx4fzFQ,2019-07,-75.669273,45.446014
acB84M2bdJ5F27FMHztLJA,2019-07,-75.669199,45.446193
dFAVb6XNqfXzsKIQFZRzbw,2019-07,-75.669152,45.446374
LzFH5DdaA7MBIhy2tbTlVQ,2019-07,-75.669099,45.446549
fIk4licjyEyxIIKD7Cb9ag,2019-07,-75.669019,45.446737
ckhInpz2FYCXJMYeQ9idKg,2019-07,-75.668911,45.446922
25YWJVo0I_QOn7NWirZofg,2019-07,-75.668809,45.447074
Ap3cCg-79PbOw2r-6vqD3A,2019-07,-75.668675,45.447223
XNfkenvB7j-y9BNPpR5VvQ,2019-07,-75.668530,45.447368
Q0D14owxE4QeDUJsvdTZAg,2019-07,-75.654743,45.449652
_e6_KaNj7o7kXXVUHzaFhw,2019-07,-75.654603,45.449662
tqTCZvpng2jYZyaJkRtBLg,2019-07,-75.654318,45.449681
qBhVmbbcojBUVIANUOmdTA,2019-07,-75.654034,45.449700
UcQ4y2XKCjcPl5CtOxWk7Q,2019-07,-75.653775,45.449717
geVAWnSHgOXAQxhE2OcZMw,2019-07,-75.653518,45.449735
bOXb-dxjSze8NRZrwvkDhA,2019-07,-75.653261,45.449752
fBaJnMk3vJxuAgcSyTS83g,2019-07,-75.652999,45.449770
n5Dhf0obRJRiuRtRsTC84Q,2019-07,-75.652711,45.449790
7Y-IiZrywzmU-yh1t907-Q,2019-07,-75.652522,45.449804
A-cKplDb29aKVc2S1pHbWw,2019-07,-75.652266,45.449820
hpZK9DizBwC8v539Wedpew,2019-07,-75.652009,45.449836
3JM3shM8DmY6_Srq3WnirQ,2019-07,-75.662558,45.449117
7ro5DN0svsMi0xo1vwTAEA,2019-07,-75.662283,45.449135
YPxiN4y3DiuE7eFFpndH0Q,2019-07,-75.662009,45.449153
0NHfXy2-1opGkRaO_D8cSg,2019-07,-75.661728,45.449172
9kJY0sgoYaLwT1BH5Lfihw,2019-07,-75.661463,45.449189
zDfGZiYUWkPh945YDcLSMQ,2019-07,-75.661329,45.449198
wWi_8vmFxNjxQC5T2-SNLQ,2019-07,-75.661065,45.449215
nxpnGbt1EuQIjkru4oTi1g,2019-07,-75.660801,45.449233
q4-leDju2wuBM1F3htCXCg,2019-07,-75.660457,45.449257
dg8fr_6f86JLA6C5qeg7QQ,2019-07,-75.660202,45.449274
vlL5Sct92237kUgLzm1TMQ,2019-07,-75.659947,45.449292
T4uHODCdU3h6Wnf_F3fsiQ,2019-07,-75.657067,45.449463
xjmB2mLYSSWJrkEC3ky-Dg,2019-07,-75.656809,45.449484
UVu-st79aCILgTfPxuIzZg,2019-07,-75.656477,45.449511
3Bj52F43S3RPNkahkjM9Vw,2019-07,-75.656223,45.449533
6mjOHJiXjjURe3OQmmxytA,2019-07,-75.656096,45.449544
4Rq-d2qzPiBe0UYfGMONng,2019-07,-75.655840,45.449566
irDpCIaRsR_yCEjY96-B5w,2019-07,-75.655581,45.449588
_g660QWeBWXZYxLrQvyNOA,2019-07,-75.655321,45.449610
6Irn4GVwIvmBInjNyFhk-g,2019-07,-75.668227,45.447603
jhwAyKbMMTuVW0U3sTUrFg,2019-07,-75.668043,45.447727
-YaP7UP6a-yyJYNzRYeqUg,2019-07,-75.667862,45.447839
2Ky90P6B8f66pzpIEhZobQ,2019-07,-75.667659,45.447954
J0pUsZ2viF1bGUYRNFg5_w,2019-07,-75.667458,45.448069
MQfm6RofpwKQI1dygD9gMQ,2019-07,-75.667247,45.448177
lRQIEeadJY7sKtLIqxcSiw,2019-07,-75.667026,45.448279
c9j8T_eoAsRcOPrOz-Pfcg,2019-07,-75.666802,45.448372
b19d7Bv8Iz0SfL59HnTaRQ,2019-07,-75.666611,45.448451
XZcxG7Zee-go6UAItN3ITw,2019-07,-75.666387,45.448537
5Mw-kRgNlHOysHKnzxmEgg,2019-07,-75.666153,45.448610
jTwsxr9tmfMnFnzQiB1Ggg,2019-07,-75.665907,45.448687
iO0LGghYklrvegxDHoLBrw,2019-07,-75.665655,45.448756
hLWnEyvB_zQb2C5G1LrcDg,2019-07,-75.670339,45.444430
3yrJsVSx9-gYzOy-950ueg,2019-07,-75.670293,45.444614
CVWUVx0YFvqat8TQA7FsfQ,2019-07,-75.670226,45.444802
x48IiLG6iAeI4fHTq7FVuQ,2019-05,-75.692632,45.421224
IoaMSIjEBL1n_t67jgEpVA,2019-05,-75.692357,45.421339
PM4iZ_kUYiFsfdBz9g84bA,2019-05,-75.692247,45.421386
qLzC_OuHVcY_688r5SR3QA,2019-05,-75.692028,45.421478
9-a9Qhmi94ha3ySQVKUJtA,2019-05,-75.691734,45.421601
z6x4wd-3dFuhFv3xXR4u8A,2019-05,-75.691515,45.421692
1zTIgBZ7q6zl6AZB33H0Uw,2019-05,-75.681684,45.436239
W7YVMHQMPzviAO0FCMS-8w,2019-05,-75.681426,45.436242
grryv9lx5BzCSyV2Umxcpg,2019-05,-75.681219,45.436253
EfWUkKY_oD2_9jP9I4JddQ,2019-05,-75.681008,45.436274
zac3GZZGTlki-sBTfOi1pw,2019-05,-75.680743,45.436313
hWypDWyHkUDVLVDYQvoaPQ,2019-05,-75.680439,45.436375
k6lnoaJLv5vRLcrxZiS6lQ,2019-07,-75.665105,45.448868
6z6f3BqAQCtaOmmF7rM04Q,2019-07,-75.664855,45.448911
Uqoawi-BPhnFqdeYNly4-Q,2019-07,-75.664606,45.448948
g-iVZeOD0IiUFhsnEQ8MTA,2019-07,-75.664354,45.448976
K2Jt95MQDpHB3AWF3mqmaQ,2019-07,-75.664100,45.449000
9SuISOL6LF0wgAVICNbtxg,2019-07,-75.663846,45.449023
RL697Ado4QSIZA76ibSZUQ,2019-07,-75.663590,45.449046
wI1y1T2dl45KgIB9QsQ2qA,2019-07,-75.663399,45.449063
9d8q5q2XxRQYH89fsT2N5g,2019-07,-75.663146,45.449082
mZuBIPvpBramU9sOKlGbCg,2019-07,-75.662913,45.449095
CHkQXEmqZLJ7M4-cXbXIzQ,2019-05,-75.677681,45.431914
aovZlOa7o8YPHN645DDKAg,2019-05,-75.677540,45.431753
GyEz_mc43MUN_mRsGmbP-g,2009-04,-75.677438,45.431638
aaDpCo4pQvtdtuWEids6tw,2019-05,-75.676114,45.430105
A9hNuUxEF9aiOx7NC2ntRQ,2019-05,-75.675994,45.429956
gIWtg8CdKVz4WxSnY0qahw,2019-05,-75.675868,45.429799
5QuT1bGlNkOL06p0dz53PA,2019-05,-75.677129,45.431276
4Wx_xZbVvkPHgi9KDO7EBw,2019-05,-75.676996,45.431123
PekKwPU3J2I1TSzUzEmCYA,2019-05,-75.676858,45.430964
165N6o7MvcbWHSrG87Do4w,2019-05,-75.676806,45.430819
zyLOQ10wBvw4NgrKh20PIA,2019-05,-75.687219,45.423444
VqYjoZQxdsnBjqP9gSvwUA,2019-05,-75.687006,45.423544
PfCwvYtF7a5yjE2yZEr5ug,2019-05,-75.676615,45.430687
KJxiwr0Xultm5DzJ6vOQvw,2019-05,-75.676479,45.430532
ymIA8gB9FdxzrG2sQK66RA,2019-05,-75.676337,45.430371
FmuOTT46LSbf2IpoUP2v2Q,2019-05,-75.709679,45.414900
qQqjltsGAkaPYeAIilg6zw,2019-05,-75.709799,45.414741
O9HiSk9JDcOJQUYha66GzQ,2019-05,-75.709919,45.414582
SK-AcRRJAUJPO39iBPM74A,2019-05,-75.710063,45.414391
vnhG6dY5wR6_KpU7n2uzIw,2019-05,-75.710168,45.414268
tGXOoBD0SBA5zNgx8tIc-w,2019-05,-75.710299,45.414113
5a92htG0LivR0OprmJCLSQ,2019-05,-75.710429,45.413959
evIzQv6Sk0yFzp_9TYiNRg,2019-05,-75.710593,45.413752
cDtN7x7qpWSA91S8-gLhjw,2019-05,-75.710886,45.413625
WzSQLhABiv9-v3cDcs8hsg,2019-05,-75.711112,45.413541
sByFP_ziScIRZcXlfOxMwg,2019-05,-75.711240,45.413493
PavO7p8g23r7ydGSfPWKkw,2019-05,-75.711443,45.413412
-JVLt-Ena_SBPceaqvzVFw,2019-05,-75.711744,45.413293
KGosmV2MFvjF9d31Dspnwg,2019-05,-75.711945,45.413214
K5fFZWV7rJ55qX65Eh5ujQ,2019-05,-75.712169,45.413126
wnmMX49WKgNE9wZXMZ0jWA,2019-05,-75.712392,45.413038
O7wDPH0ZpVpmruLydggQYg,2019-08,-75.712627,45.413007
lwq952V5fNf5g69PTPPbxw,2019-08,-75.712831,45.412861
GQjn2OZNkq8UqpFyuGWbbg,2019-08,-75.713016,45.412781
U35co-m9GyNpDP6K88TlVA,2019-08,-75.713272,45.412670
3sTpHuc1ZXXBTxQmf921Qw,2019-08,-75.713392,45.412618
TbBQllrQzFQyfYT4DJN7RA,2019-08,-75.713614,45.412521
Uacbl9aL1M7oPtVnYmJ2Aw,2019-08,-75.713942,45.412383
fdNsGznsF1Jw3Ip_Su6y5g,2019-08,-75.714108,45.412315
_AF5NMppt1hR7toaHWl97w,2019-08,-75.714344,45.412210
SQenkyh7PjDkHcocpLSUIQ,2019-08,-75.714512,45.412141
ikIDVHaQ5RJM-vYxnBJrJA,2019-08,-75.714781,45.412020
4xSEkX4hfKGmMrrqehaf5Q,2019-08,-75.714932,45.411952
nKhIGvuMenqDM7Vek6-Vbw,2019-08,-75.715180,45.411841
SZF35-TrN69L7gIiLbgH4w,2019-08,-75.715417,45.411734
2kCI9P1TA3DyiqGN-qkxtg,2019-08,-75.715525,45.411686
WsWpTK03HN_O4ybEDFuAUA,2019-08,-75.715883,45.411535
lCgTSFRPcB6GGvBY4t15ng,2019-08,-75.716007,45.411489
OTyre_PnetAyqpdEeM-slA,2019-05,-75.716254,45.411398
ACzJhkqfmBNaic68oE-H4Q,2019-05,-75.716440,45.411327
75jspIjqpTG26i7ONRp3Xw,2019-05,-75.716750,45.411200
HE1A6FTqvv1xYeA1pv7RBw,2019-05,-75.716914,45.411137
MlEiWrbClyIHbL-CFiqqTQ,2019-05,-75.717205,45.411023
5dJ0-i38r79PihIeowDoaA,2019-05,-75.717448,45.410916
aKaTQEL7Ptf2FC2fuc9QVQ,2019-05,-75.717590,45.410855
wPBNbPixRDT16GQr7gBLCA,2019-05,-75.717841,45.410746
Wi7B3sxOrJVWTaZqBxCprA,2019-05,-75.718008,45.410676
26g035cPxq334Wl5Yhplkw,2019-05,-75.718283,45.410557
aM-28TtG_fxLhjtTtd7fzw,2019-05,-75.718472,45.410476
3i4Ve7LoSWpJ7lZWFRJk2w,2019-05,-75.718722,45.410372
7KeCiAk4mtIGlYp2UPJIBg,2019-05,-75.718998,45.410281
F4Ro1EPf8YIfrxjWApB_LA,2019-05,-75.719252,45.410208
zMCMVNSPeIhLYOBmjF5W0w,2019-05,-75.719384,45.410170
W2LTw_BoJI2VsxKGytg3Xg,2019-05,-75.719719,45.410075
ElEXP5eM_9Eyuz2_YtHOxg,2019-05,-75.719906,45.410021
Xy1JATsef0NuDC8EU9JzWA,2019-05,-75.720115,45.409961
Qh31Xj7e326tazFqhR5NfA,2019-05,-75.720345,45.409894
s24ZwC2jt38hXwsxUGyXQg,2019-05,-75.720589,45.409808
vrqwn2zJUVPx1pc0B_XH9Q,2019-05,-75.677639,45.438495
ubKclVXqaSF28-hqPFhQYg,2019-07,-75.677538,45.438665
L4i8xopfAqgMJhcOXo5dgA,2019-07,-75.677414,45.438822
6gar0Dtr6GKGxiFF49BYxw,2019-07,-75.677296,45.438975
CwBwLpbnf1AauaeHKAd8bA,2019-07,-75.677176,45.439132
sEmk-Ty2pP3S7EOsb5Qmug,2019-07,-75.677052,45.439294
Xt-Yo95n_QlgcTx1Lzfhfg,2019-07,-75.676902,45.439460
N_-MFMKyv6DWkyZSUWMkiw,2019-07,-75.676733,45.439621
sI9sS2wqcNs4FrqSyPQn7A,2019-07,-75.676552,45.439752
zmxym9Db4cOw_vfW2uV7GA,2019-05,-75.681542,45.435420
HtLtf_GHpee3O65LRMo7Kg,2019-05,-75.677874,45.432117
DjJxSCVbWDGYNGFTUhA-eg,2019-05,-75.681907,45.435962
e2BP6nh3HLFwCwKAgsmpWA,2019-05,-75.681847,45.435777
KJYjQUF5mitBK21qyWPa9A,2019-05,-75.681736,45.435601
v5IrlzrUMNpybwYsCQ7GAw,2019-05,-75.684043,45.426125
-RISpkuyGncDVFDdSmsLiA,2019-05,-75.683812,45.426221
k23YcXDKaCIa-ucM8d2lnA,2019-05,-75.681714,45.427104
MYZxoe8XNpcBSFvbprb_Sg,2019-05,-75.681484,45.427201
pBVLECngugKVTXN5LnDqmQ,2019-05,-75.681264,45.427294
d7A8l69oW9Yq60JU2CdmpQ,2019-05,-75.681044,45.427386
wM60t4B6U8qL_VtxyGBBTQ,2019-05,-75.680824,45.427479
G-eAUgnPq4w2Xo6zaNXHfw,2019-05,-75.680615,45.427566
Bk5QH7Lj2XecFmDRW77bYQ,2019-05,-75.680336,45.427684
CBIbLQdG8TPMYA0RtAi13w,2019-05,-75.678705,45.428423
z65u02RkOjYgiQy8htDCXw,2019-05,-75.678472,45.428519
yPF2pTaqUaLKZlhwRJt-xA,2019-05,-75.678248,45.428613
coc_XdVCkbk5cPuuP3pdTg,2019-05,-75.678026,45.428705
rj2VjQ0UhxyXDlpcOQhjjw,2019-05,-75.677802,45.428798
xvfJRHD6iackaz8Yzq_M7g,2019-05,-75.677583,45.428889
vPuufWfobFKu2brTetsdWg,2019-05,-75.677312,45.429002
ZM4lj4hdU7LbnaTWVIc1GQ,2019-05,-75.678345,45.432541
lloFXsKGfgSpX0xhwWHYGA,2019-05,-75.679954,45.434387
tc_uDveRh-kQKstwFeFr_g,2019-05,-75.679820,45.434227
plrbcGlONiv0ZxhqLCxZPg,2019-05,-75.679691,45.434072
FiRXw1EtRwnA4WV1p1X-VQ,2019-05,-75.682500,45.426782
qItiiAnhgSyAs4jwjh9SOw,2019-05,-75.682264,45.426877
ClpozKxRe3Qlf9JFXyPokw,2019-05,-75.682056,45.426962
tyOfuuw3oO9DYIGzzuX-6g,2019-05,-75.685388,45.425335
lDQdiETJwauIkUuTdZJaIA,2019-05,-75.685253,45.425172
F2wIUCewSzrf78f1q5zicw,2019-05,-75.685123,45.425017
7vVC8T5F29ZFVlAvxoGF5Q,2019-05,-75.684988,45.424854
KHj_FqILUoxlDbbqotqgmQ,2019-05,-75.684852,45.424691
S_mp2d6VqEwVUdCrgX8JfQ,2019-05,-75.685271,45.425611
HTev2THX7UMlKxdNbQ4HhQ,2019-05,-75.685049,45.425702
hoGhleMfX2W5cdk0kjyxgA,2019-05,-75.684881,45.425770
8hN_-kR9N9Zq1LCFB-MJMg,2019-05,-75.684669,45.425854
kjSrg0ljxMLznpnbT5cnzQ,2019-05,-75.684444,45.425951
JdjsrBUia8u4ZBXhUBY8iQ,2019-05,-75.684238,45.426043
61KVi26Y0NQ-EgEU-lYcaw,2019-05,-75.681244,45.435224
sgfOHt4j4d8XCH1O5NyoCw,2019-05,-75.681036,45.435112
wQYqcCZWP8-EaOz_ogr2Gw,2019-05,-75.680830,45.435006
MCBnDoT3x5wpEK2F2hhWdA,2019-05,-75.678910,45.433173
ZIfO_gsSnVDQETKpLSQXhQ,2019-05,-75.678776,45.433020
ow4-XWZz_Sq-AgD2t-V3QA,2019-05,-75.678594,45.432815
-43rmWFgTkYHYbond4sRYw,2019-05,-75.678499,45.432708
ZtpBQ-TcoFIgZo19QF_3cQ,2019-05,-75.677137,45.429074
d_F6IWoUDvOIqHBfKy-HYQ,2019-05,-75.676907,45.429170
Da7kwL4DVHSY3NPaISJGRw,2019-05,-75.676685,45.429262
J6nQ_D6d2_qz7Rt1z30UDg,2019-05,-75.676466,45.429353
UTRuSrBWnFbnfrXFktTE6A,2017-08,-75.676307,45.429419
jQlRo2GPkdmvyWPt5GlyWQ,2015-04,-75.675967,45.429560
elKPhE9un0vZ1ut9dg7gTw,2016-05,-75.675715,45.429664
k2LK-18RzoyMdsMahU2pvQ,2019-05,-75.680175,45.427757
EUnpN-9_QDuqJWBLed4eBA,2019-05,-75.679988,45.427843
GTQ0S8qVh8FZRFoE7NhvVQ,2019-05,-75.679759,45.427947
PJiRwIeVlKJ2dYFTCZ_QxQ,2019-05,-75.679539,45.428048
9vW6jc_k4at6_kPcoLfNTA,2019-05,-75.679320,45.428148
VFcgY79EazIPvHxBYHDqkg,2019-05,-75.679112,45.428243
pgItEgmUCIFHb5BaAr283A,2019-05,-75.678892,45.428343
-0WcC-o1mYRQBPejnZowTQ,2019-05,-75.679448,45.433786
kEEDyWNX3XzEx2INF0-A-g,2019-05,-75.679314,45.433633
MCdDl_hptvBPSSdQ_THjgA,2019-05,-75.679151,45.433447
NwA93m15EqsevYCaMD41ig,2019-05,-75.679018,45.433295
zSRm-l7r9lZzDEZO_pqPLw,2019-05,-75.683501,45.426354
fBPKz8sps57j-RyppMzpFw,2019-05,-75.683271,45.426453
Z9WHa5GJq8Kq7jtPDGgMdw,2019-05,-75.683053,45.426547
p4vtmlsw5UdcfClEbO085w,2019-05,-75.682835,45.426641
V28zGC-llJNucCLIG8n9GA,2019-05,-75.680484,45.434806
ACfS3IV06aLBI9W3397slw,2019-05,-75.680295,45.434690
UDpsL3_AJ4dwyP3E8-kSnQ,2019-05,-75.680137,45.434519
-nuwsERqZd4FrW3-A1GAeg,2019-05,-75.686392,45.423834
WnINf7lnSYakH8vEY6z0tQ,2019-05,-75.686124,45.423955
s4yVnGi60kRt9L8LXLVkJw,2019-05,-75.685867,45.424071
8HOEPZat-SZYuV30v8cuLA,2019-05,-75.685756,45.424120
A-y5l30X4Grt0qIKXAzEVg,2019-05,-75.685497,45.424234
QJYo5OMtUzRqRSBQ85vOBw,2019-05,-75.685277,45.424329
KslMI3SnO9UpkM47kFPjFg,2019-05,-75.685056,45.424424
kWYniQ8ZZSDgsng0NeOO8w,2019-05,-75.684826,45.424523
DK9aKyG0LoO6xVyVzZ_6vw,2019-07,-75.675272,45.440290
O1w8jc5TMAhb7TgAQoxICg,2019-07,-75.675073,45.440401
qCmjJi8bbGROLF60oHYOZQ,2019-07,-75.674873,45.440529
6FstaUVZzNcjD4aeqyDeBA,2019-07,-75.674679,45.440658
